Mês	Colocação	Nome do Livro	Autor
1    	1         	É assim que começa	Colleen Hoover
1    	2         	É assim que acaba	Colleen Hoover
1    	3         	A mandíbula de Caim	Torquemada (Edward Powys Mathers)
1    	4         	Café com Deus pai	Junior Rostirola
1    	5         	Mais esperto que o diabo	Napoleon Hill
1    	6         	O poder da autorresponsabilidade	Paulo Vieira
1    	7         	O que sobra	Príncipe Harry
1    	8         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
1    	9         	A biblioteca da meia-noite	Matt Haig
1    	10        	Minutos de sabedoria	C. Torres Pastorino
1    	11        	Como fazer amigos e influenciar pessoas	Dale Carnegie
1    	12        	A hipótese do amor	Ali Hazelwood
1    	13        	Amor & gelato	Jenna Evans Welch
1    	14        	Os segredos da mente milionária	T. Harv Eker
1    	15        	Todas as suas (im)perfeições	Colleen Hoover
1    	16        	Quem pensa enriquece: o legado	Napoleon Hill
1    	17        	Tudo é rio	Carla Madeira
1    	18        	Verity	Colleen Hoover
1    	19        	Torto arado	Itamar Vieira Junior
1    	20        	Os sete maridos de Evelyn Hugo	Taylor Jenkins Reid
2    	1         	Café com Deus pai	Junior Rostirola
2    	2         	É assim que acaba	Colleen Hoover
2    	3         	É assim que começa	Colleen Hoover
2    	4         	Plenitude	Camila Saraiva Vieira
2    	5         	Mais esperto que o diabo	Napoleon Hill
2    	6         	A mandíbula de Caim	Torquemada (Edward Powys Mathers)
2    	7         	O poder da autorresponsabilidade	Paulo Vieira
2    	8         	Aprendizado sem limites	Pedro Ernesto Miranda
2    	9         	O que sobra	Príncipe Harry
2    	10        	Minutos de sabedoria	C. Torres Pastorino
2    	11        	A biblioteca da meia-noite	Matt Haig
2    	12        	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
2    	13        	Verity	Colleen Hoover
2    	14        	Quem pensa enriquece: o legado	Napoleon Hill
2    	15        	Como fazer amigos e influenciar pessoas	Dale Carnegie
2    	16        	Especialista em pessoas	Tiago Brunet
2    	17        	Torto arado	Itamar Vieira Junior
2    	18        	O poder da ação	Paulo Vieira
2    	19        	A hipótese do amor	Ali Hazelwood
2    	20        	A revolução dos bichos	George Orwell
3    	1         	Mentes saudáveis, lares felizes	Augusto Cury / Marcus Araujo
3    	2         	Café com Deus pai	Junior Rostirola
3    	3         	É assim que acaba	Colleen Hoover
3    	4         	É assim que começa	Colleen Hoover
3    	5         	O poder da autorresponsabilidade	Paulo Vieira
3    	6         	Mulheres que correm com os lobos (capa dura)	Clarissa Pinkola Estes
3    	7         	Colocando a vida em ordem	Deive Leonardo
3    	8         	Mais esperto que o diabo	Napoleon Hill
3    	9         	A biblioteca da meia-noite	Matt Haig
3    	10        	Onde estão as flores	Ilko Minev
3    	11        	Vade Mecum Saraiva 2023 - 35ª Edição	Saraiva
3    	12        	Tudo é rio	Carla Madeira
3    	13        	A mandíbula de Caim	Torquemada (Edward Powys Mathers)
3    	14        	A garota do lago	Charlie Donlea
3    	15        	Minutos de sabedoria	C. Torres Pastorino
3    	16        	Nunca foi segredo	Padre Reginaldo Manzotti
3    	17        	Como fazer amigos e influenciar pessoas	Dale Carnegie
3    	18        	Os sete maridos de Evelyn Hugo	Taylor Jenkins Reid
3    	19        	Verity	Colleen Hoover
3    	20        	A hipótese do amor	Ali Hazelwood
4    	1         	Onde estão as flores	Ilko Minev
4    	2         	Café com Deus pai	Junior Rostirola
4    	3         	Mais esperto que o diabo	Napoleon Hill
4    	4         	É assim que começa	Colleen Hoover
4    	5         	É assim que acaba	Colleen Hoover
4    	6         	O poder da autorresponsabilidade	Paulo Vieira
4    	7         	Nunca foi segredo	Padre Reginaldo Manzotti
4    	8         	Tudo é rio	Carla Madeira
4    	9         	Superpotencial	Davi Braga
4    	10        	A biblioteca da meia-noite	Matt Haig
4    	11        	Quem pensa enriquece: o legado	Napoleon Hill
